respondent_id;Gusta_Riesgo;Licencia;Amigos_Moto;Familiares_Moto;Genero;Edad;Posición_Jefe_hogar;Posición_Hijo;Posición_Pareja;Ocupación_Independiente;Ocupación_Estudiante;Ocupación_Hogar;Ingreso_Personal;Ingreso_Norm_Personas;Estrato;Menores_16;Mayores_65;Nivel_Estudio;Vehículos;Otros_Licencia;Edad_18_40;Hombre_18_40
13119107357;5;0;1;1;0;18;0;1;0;0;1;0;0.5;0.1328;2;1;1;2;1;1;1;0
13119130082;3;0;0;1;0;28;0;1;0;0;1;0;0.5;0.388;2;0;1;3;1;1;1;0
13119131207;1;0;1;1;0;21;0;0;1;0;0;1;0.5;0.582;2;0;0;2;0;1;1;0
13119075669;3;1;1;1;1;24;0;1;0;0;0;0;1.164;0.6;2;1;0;3;1;1;1;1
13119109034;3;1;0;0;1;36;1;0;0;0;0;0;2.25;1.975;3;0;1;4;1;1;1;1
13119012827;4;1;1;1;0;22;0;0;1;0;0;0;1.75;1.05;3;1;0;4;1;1;1;0
13119100643;4;1;1;1;1;35;1;0;0;0;0;0;3;1.05;3;1;0;4;1;1;1;1
13119025596;3;1;0;1;0;27;0;0;1;0;0;0;1.75;0.45;3;0;1;3;1;1;1;0
13119077274;3;0;1;1;0;23;0;1;0;1;0;0;1.164;1;3;0;0;3;0;1;1;0
13119070105;2;1;0;0;0;28;0;1;0;1;0;0;1.75;0.5625;3;0;0;4;1;1;1;0
13119121091;1;0;0;0;0;26;0;0;1;0;0;1;1.164;0.388;3;1;1;4;0;1;1;0
13119105131;3;1;0;0;1;22;0;1;0;0;1;0;0.5;1.05;3;0;0;2;1;1;1;1
13119105309;1;1;1;1;1;60;1;0;0;0;0;0;4.2;1.05;3;0;1;4;1;1;0;0
13119117800;4;1;0;0;0;31;0;0;1;1;0;0;2.25;1.4;3;1;0;4;1;1;1;0
13119113367;2;0;1;1;0;21;0;0;1;0;0;0;0.5;0.332;2;0;0;3;1;1;1;0
13119039815;4;1;1;1;0;31;0;0;1;0;0;0;4.2;2.633333333;2;1;0;5;1;1;1;0
13119106556;1;0;0;0;0;26;0;1;0;1;0;0;0.5;0.583333333;3;0;0;2;1;1;1;0
